Player,Batting_Impact,Bowling_Impact,Talent_Score
JP Behrendorff,0.0,190.0,76.0
NT Ellis,0.0,190.0,76.0
RP Meredith,0.0,190.0,76.0
KW Richardson,0.0,190.0,76.0
E Malinga,0.0,180.0,72.0
IC Pandey,0.0,180.0,72.0
BB Sran,0.0,180.0,72.0
Anureet Singh,0.0,180.0,72.0
DS Rathi,0.0,170.0,68.0
Mukesh Choudhary,0.0,170.0,68.0
CRD Fernando,0.0,170.0,68.0
R Rampaul,0.0,160.0,64.0
YA Abdulla,0.0,150.0,60.0
Rasikh Salam,0.0,150.0,60.0
G Coetzee,0.0,150.0,60.0
KR Sen,0.0,140.0,56.0
KA Jamieson,0.0,140.0,56.0
AC Thomas,0.0,140.0,56.0
SJ Srivastava,0.0,140.0,56.0
RR Powar,0.0,130.0,52.0
V Nigam,0.0,120.0,48.0
VRV Singh,0.0,120.0,48.0
BA Bhatt,0.0,120.0,48.0
AN Ahmed,0.0,120.0,48.0
Azmatullah Omarzai,0.0,120.0,48.0
Prince Yadav,0.0,120.0,48.0
N Burger,0.0,120.0,48.0
Joginder Sharma,0.0,120.0,48.0
GD McGrath,0.0,120.0,48.0
K Kartikeya,0.0,120.0,48.0
AB McDonald,0.0,110.0,44.0
Simarjeet Singh,0.0,110.0,44.0
A Chandila,0.0,110.0,44.0
TS Mills,0.0,110.0,44.0
J Little,0.0,110.0,44.0
J Theron,0.0,110.0,44.0
Pankaj Singh,0.0,110.0,44.0
S Badree,0.0,110.0,44.0
JL Pattinson,0.0,110.0,44.0
SM Pollock,0.0,110.0,44.0
Akash Deep,0.0,100.0,40.0
AS Roy,0.0,100.0,40.0
Shahid Afridi,0.0,90.0,36.0
Akash Singh,0.0,90.0,36.0
AG Murtaza,0.0,90.0,36.0
KP Appanna,0.0,90.0,36.0
J Yadav,0.0,80.0,32.0
AA Chavan,0.0,80.0,32.0
KC Cariappa,0.0,80.0,32.0
J Syed Mohammad,0.0,80.0,32.0
S Sandeep Warrier,0.0,80.0,32.0
BAW Mendis,0.0,80.0,32.0
I Udana,0.0,80.0,32.0
Swapnil Singh,0.0,70.0,28.0
A Mithun,0.0,70.0,28.0
AF Milne,0.0,70.0,28.0
Fazalhaq Farooqi,0.0,60.0,24.0
DJ Willey,0.0,60.0,24.0
VS Malik,0.0,60.0,24.0
RR Raje,0.0,60.0,24.0
S Kaushik,0.0,60.0,24.0
S Tyagi,0.0,60.0,24.0
Zeeshan Ansari,0.0,60.0,24.0
HR Shokeen,0.0,50.0,20.0
KL Nagarkoti,0.0,50.0,20.0
Parvez Rasool,0.0,40.0,16.0
